Fecha	Nombre de la Campaña	Region	Clicks	Impresiones	Views	Costo
9/15/2023	AprendeJavaScriptYA	Oeste	30933	310580	6477	1283
9/25/2023	CursosDeProgramacion	Oeste	31754	393719	49579	516
11/8/2023	AprendeCSharpFacil	Norte	7729	354769	13496	1041
11/27/2023	CursoDeJavaAvanzado	Oeste	8874	128412	31565	246
12/2/2023	CodigoFacilitoEnEspanol	Sur	34895	314174	8955	1693
5/19/2024	MasterEnPython	Oeste	27886	173897	11816	1347
10/25/2023	AprendePythonFacil	Oeste	10299	189909	20611	1742
10/22/2023	ProgramacionDesdeCero	Norte	29824	37977	13239	1797
7/17/2024	MasterEnPython	Oeste	5597	35187	6036	1285
12/23/2023	AprendeCSharpFacil	Este	38375	89827	29375	205
3/23/2024	ProgramacionParaTodos	Sur	28534	166314	20093	718
12/19/2023	CodigoFacilitoEnEspanol	Norte	6373	327935	26630	804
12/14/2023	CursoDeJavaAvanzado	Oeste	22424	235505	44651	1000
6/5/2024	ProgramacionParaTodos	Este	19117	264234	38598	1865
10/7/2023	CursosDeProgramacion	Norte	42305	380429	33365	408
4/16/2024	CursosDeProgramacion	Norte	35117	382997	18960	1920
5/2/2024	AprendePythonFacil	Este	28091	126879	36136	1040
3/12/2024	ProgramacionDesdeCero	Sur	7144	352814	34613	602
9/14/2023	MasterEnPython	Este	48483	348298	39107	1697
12/11/2023	DesarrolloWebCompleto	Oeste	33574	271902	31025	1379
11/12/2023	AprendeJavaScriptYA	Sur	24309	293583	32523	1225
9/10/2023	DesarrolloWebCompleto	Este	47106	251699	35426	971
9/19/2023	ProgramacionDesdeCero	Este	8783	206188	35438	930
12/8/2023	DesarrolloWebCompleto	Este	40888	222643	38438	1247
11/13/2023	AprendeJavaScriptYA	Oeste	31233	120526	46896	428
4/15/2024	AprendeJavaScriptYA	Oeste	19727	320424	16924	818
10/2/2023	CursoDeJavaAvanzado	Sur	14269	202589	36968	196
9/30/2023	CursoDeJavaAvanzado	Oeste	36521	316407	26578	1780
9/20/2023	CursosDeProgramacion	Norte	40716	306932	37351	866
6/30/2024	CodigoFacilitoEnEspanol	Oeste	42352	312899	5833	291
1/2/2024	AprendeCSharpFacil	Norte	43934	318157	32491	566
2/28/2024	ProgramacionParaTodos	Norte	29257	455267	49556	1805
3/2/2024	AprendeCSharpFacil	Norte	21814	266617	11879	1177
12/10/2023	MasterEnPython	Sur	6862	275274	33354	180
10/29/2023	ProgramacionParaTodos	Norte	9842	352136	35767	1266
6/17/2024	ProgramacionParaTodos	Norte	14518	85366	19679	1690
1/27/2024	ProgramacionParaTodos	Este	27407	415821	29662	1610
9/1/2023	CodigoFacilitoEnEspanol	Norte	22505	314195	39187	1679
10/26/2023	AprendePythonFacil	Oeste	16663	365448	44234	1600
9/26/2023	CursosDeProgramacion	Oeste	9063	280395	27863	1259
9/28/2023	ProgramacionDesdeCero	Norte	36609	36858	12255	448
11/16/2023	ProgramacionDesdeCero	Sur	11115	91653	41781	529
9/1/2023	AprendePythonFacil	Sur	19615	132082	27952	1263
3/6/2024	CursosDeProgramacion	Norte	39697	441048	40234	226
5/4/2024	AprendeJavaScriptYA	Sur	23109	281054	40676	514
1/6/2024	AprendeJavaScriptYA	Sur	7771	422881	43826	966
5/8/2024	ProgramacionDesdeCero	Oeste	7079	159610	49709	1536
11/12/2023	CodigoFacilitoEnEspanol	Sur	13030	254042	22172	1890
4/24/2024	DesarrolloWebCompleto	Sur	40426	345082	30159	244
8/18/2023	ProgramacionParaTodos	Sur	37104	196580	23687	1264
9/12/2023	AprendePythonFacil	Norte	9603	24524	38137	655
9/24/2023	CodigoFacilitoEnEspanol	Oeste	22137	50108	12426	1811
8/4/2024	CursosDeProgramacion	Sur	45256	15344	34043	876
9/21/2023	CursosDeProgramacion	Este	13190	194696	36196	843
11/17/2023	DesarrolloWebCompleto	Este	25756	48267	33660	1792
5/10/2024	ProgramacionParaTodos	Norte	42208	373061	5090	1505
11/9/2023	DesarrolloWebCompleto	Sur	46770	192018	49578	210
5/15/2024	AprendeCSharpFacil	Norte	26942	111270	15320	1125
3/22/2024	AprendePythonFacil	Norte	31062	366256	41225	1193
4/10/2024	CursosDeProgramacion	Este	16437	386079	37325	1363
4/11/2024	DesarrolloWebCompleto	Este	33719	495947	30551	1480
6/14/2024	MasterEnPython	Este	25551	460907	32192	1511
12/16/2023	ProgramacionDesdeCero	Sur	14263	367842	8062	360
6/7/2024	AprendeJavaScriptYA	Oeste	12663	373191	26776	172
5/3/2024	CursoDeJavaAvanzado	Sur	6763	138479	14704	809
9/23/2023	CursoDeJavaAvanzado	Oeste	22388	344938	42403	1103
7/17/2024	AprendeJavaScriptYA	Oeste	14140	469097	18732	294
1/6/2024	AprendePythonFacil	Este	49949	303858	36003	434
10/27/2023	AprendeCSharpFacil	Sur	17538	355601	30011	717
4/23/2024	CursosDeProgramacion	Sur	8684	261751	32694	729
7/27/2024	AprendePythonFacil	Norte	17519	263115	10003	1329
4/27/2024	CursoDeJavaAvanzado	Norte	36953	433769	47316	1254
1/18/2024	DesarrolloWebCompleto	Oeste	46442	199707	33693	580
8/13/2023	DesarrolloWebCompleto	Norte	20201	481141	10750	159
10/7/2023	CursoDeJavaAvanzado	Norte	46415	278312	9210	1345
10/29/2023	AprendeJavaScriptYA	Este	5303	13451	15469	1116
8/20/2023	ProgramacionDesdeCero	Sur	14182	195224	7956	1051
7/1/2024	CursoDeJavaAvanzado	Sur	22024	304425	38794	1269
1/15/2024	AprendePythonFacil	Oeste	13974	121762	45671	547
1/13/2024	AprendeCSharpFacil	Este	28121	320820	26319	1511
5/8/2024	AprendeCSharpFacil	Este	28587	416403	10394	1731
1/17/2024	CodigoFacilitoEnEspanol	Norte	37046	29550	26914	1990
7/8/2024	AprendePythonFacil	Sur	18915	402172	26572	783
4/13/2024	AprendePythonFacil	Sur	29603	169045	38512	1501
6/4/2024	AprendePythonFacil	Oeste	25189	179587	22675	998
7/18/2024	ProgramacionParaTodos	Sur	10235	354045	49291	994
10/28/2023	MasterEnPython	Este	37460	265156	43951	657
5/29/2024	ProgramacionParaTodos	Norte	33587	144804	42202	1577
9/8/2023	AprendeJavaScriptYA	Sur	33797	439576	39686	843
8/3/2024	AprendeCSharpFacil	Norte	13677	171228	46282	1131
3/19/2024	MasterEnPython	Sur	11829	121821	43742	930
11/24/2023	ProgramacionDesdeCero	Oeste	40351	389273	16112	404
10/30/2023	DesarrolloWebCompleto	Oeste	47378	438537	45438	1660
8/24/2023	AprendeCSharpFacil	Norte	6783	275922	18529	1799
3/23/2024	ProgramacionDesdeCero	Sur	41729	254185	14858	933
2/27/2024	CursosDeProgramacion	Sur	34200	348071	6942	1448
7/9/2024	CursosDeProgramacion	Sur	10649	11365	23908	1067
4/30/2024	AprendeJavaScriptYA	Norte	32543	80016	18377	1228
10/11/2023	ProgramacionParaTodos	Sur	34440	329768	45448	308
11/20/2023	DesarrolloWebCompleto	Este	19571	246956	46586	804
9/13/2023	CursosDeProgramacion	Sur	41703	404887	22964	1738
1/28/2024	AprendeJavaScriptYA	Sur	21508	458580	19982	1133
9/13/2023	AprendeCSharpFacil	Sur	21627	474802	37335	398
9/7/2023	MasterEnPython	Norte	8120	350809	47568	873
8/1/2024	AprendeCSharpFacil	Norte	32099	94718	37609	975
6/30/2024	DesarrolloWebCompleto	Este	8909	102356	45467	1354
6/24/2024	DesarrolloWebCompleto	Este	35640	170036	23141	1077
2/24/2024	CodigoFacilitoEnEspanol	Oeste	8414	161492	35859	109
1/28/2024	ProgramacionDesdeCero	Sur	36909	341671	30089	1459
8/24/2023	ProgramacionDesdeCero	Oeste	32967	465859	46009	1100
4/16/2024	ProgramacionDesdeCero	Este	15240	129268	15392	1419
5/6/2024	CursoDeJavaAvanzado	Este	48994	287655	16868	1594
6/9/2024	CodigoFacilitoEnEspanol	Oeste	40551	276216	22843	1213
4/15/2024	DesarrolloWebCompleto	Oeste	32894	72336	34312	1645
1/18/2024	AprendeJavaScriptYA	Norte	26696	18670	24551	1778
11/21/2023	ProgramacionDesdeCero	Oeste	21114	190045	21180	691
11/13/2023	ProgramacionParaTodos	Oeste	19160	416053	33980	209
7/7/2024	ProgramacionParaTodos	Sur	43599	426329	48116	1509
5/22/2024	ProgramacionDesdeCero	Norte	6689	265368	31323	1977
5/2/2024	CursoDeJavaAvanzado	Norte	40619	358070	13681	1343
6/11/2024	CodigoFacilitoEnEspanol	Este	18839	103922	31396	1654
8/29/2023	AprendeCSharpFacil	Norte	27838	158649	15324	947
5/2/2024	AprendeCSharpFacil	Sur	31538	182986	38699	448
3/8/2024	AprendeJavaScriptYA	Oeste	37111	206453	9897	1685
7/24/2024	AprendeCSharpFacil	Este	47345	98708	23685	493
3/14/2024	AprendePythonFacil	Norte	34328	289021	46448	1000
4/29/2024	ProgramacionDesdeCero	Sur	19137	94784	18840	304
10/13/2023	CursoDeJavaAvanzado	Sur	46543	39491	11721	530
9/29/2023	MasterEnPython	Este	28614	96509	40621	659
6/12/2024	AprendeCSharpFacil	Norte	49072	289359	34596	104
12/22/2023	DesarrolloWebCompleto	Oeste	22376	297400	17606	1661
12/23/2023	ProgramacionDesdeCero	Sur	16246	413909	41373	1965
5/29/2024	CursoDeJavaAvanzado	Norte	21839	394902	6182	214
10/27/2023	ProgramacionParaTodos	Este	43361	463838	15392	1443
2/18/2024	ProgramacionParaTodos	Este	25314	298360	43983	1789
1/6/2024	AprendeJavaScriptYA	Este	49797	137073	22315	1863
10/13/2023	AprendeJavaScriptYA	Sur	36689	489459	9951	370
12/7/2023	CursoDeJavaAvanzado	Este	7773	308208	45164	871
10/17/2023	AprendeJavaScriptYA	Este	28636	184683	27824	1200
7/1/2024	AprendeJavaScriptYA	Norte	30882	321929	43682	1617
12/3/2023	CodigoFacilitoEnEspanol	Este	41744	208031	39148	613
7/9/2024	CursoDeJavaAvanzado	Sur	23413	212835	15358	479
3/23/2024	ProgramacionParaTodos	Este	25220	307070	43987	1587
11/16/2023	CursosDeProgramacion	Norte	20671	74803	34300	1992
7/15/2024	DesarrolloWebCompleto	Oeste	33072	364900	13236	559
9/21/2023	CodigoFacilitoEnEspanol	Sur	27715	102162	11149	813
9/25/2023	DesarrolloWebCompleto	Este	35967	370881	19835	582
2/20/2024	DesarrolloWebCompleto	Oeste	29792	83391	22102	1761
11/11/2023	DesarrolloWebCompleto	Oeste	37792	318695	21970	475
6/4/2024	CursoDeJavaAvanzado	Oeste	43419	226703	43827	431
12/12/2023	ProgramacionDesdeCero	Este	48648	491357	18565	820
7/11/2024	AprendeJavaScriptYA	Oeste	46234	437766	13636	260
10/25/2023	AprendeCSharpFacil	Norte	42531	208683	15111	1594
12/24/2023	ProgramacionDesdeCero	Este	26742	396279	30240	1700
1/5/2024	DesarrolloWebCompleto	Oeste	26458	186563	6368	997
3/3/2024	ProgramacionParaTodos	Oeste	14373	131668	47528	187
7/30/2024	CursoDeJavaAvanzado	Oeste	28848	120732	40683	1757
3/23/2024	AprendeCSharpFacil	Sur	40792	11134	48321	457
8/25/2023	ProgramacionParaTodos	Norte	17673	8973	42704	1787
4/3/2024	AprendeCSharpFacil	Este	24876	372898	23978	620
10/31/2023	ProgramacionDesdeCero	Este	22230	53097	19184	104
10/7/2023	CursoDeJavaAvanzado	Este	23117	477926	48030	545
7/23/2024	CursoDeJavaAvanzado	Oeste	32832	324118	41282	844
9/13/2023	CursosDeProgramacion	Este	44142	306810	36971	264
1/1/2024	CursosDeProgramacion	Este	23769	280744	20892	1163
12/1/2023	CursosDeProgramacion	Norte	15517	478663	38201	351
2/22/2024	DesarrolloWebCompleto	Sur	47643	142996	11987	145
1/22/2024	AprendePythonFacil	Norte	11291	449254	21471	1198
11/17/2023	CursosDeProgramacion	Norte	43016	169125	26959	489
10/5/2023	CursosDeProgramacion	Oeste	46010	497124	38483	870
3/7/2024	MasterEnPython	Norte	7369	80181	11222	1483
5/27/2024	ProgramacionParaTodos	Este	30579	323458	26488	1848
7/7/2024	MasterEnPython	Norte	31696	69319	35080	1392
6/27/2024	AprendePythonFacil	Este	34700	67200	19396	1912
11/27/2023	AprendeCSharpFacil	Norte	17662	381984	20673	709
9/2/2023	CodigoFacilitoEnEspanol	Oeste	23737	47928	28043	271
8/5/2024	CursoDeJavaAvanzado	Norte	38265	224736	49868	330
10/30/2023	ProgramacionParaTodos	Sur	8855	159308	40776	398
2/4/2024	CursoDeJavaAvanzado	Norte	40905	312368	46564	347
8/2/2024	ProgramacionDesdeCero	Sur	39581	99516	9757	347
2/20/2024	MasterEnPython	Este	12926	213663	39818	1637
2/9/2024	MasterEnPython	Oeste	47968	472595	19786	305
10/1/2023	AprendePythonFacil	Sur	42592	93495	49554	214
8/29/2023	AprendeJavaScriptYA	Oeste	44315	81256	20603	1713
3/17/2024	ProgramacionDesdeCero	Oeste	13818	276651	27220	1017
5/4/2024	DesarrolloWebCompleto	Norte	45419	8443	6068	275
9/23/2023	CodigoFacilitoEnEspanol	Norte	14855	493310	42708	1166
6/2/2024	AprendeCSharpFacil	Oeste	24530	70382	31740	1897
9/25/2023	AprendePythonFacil	Oeste	18265	131462	14437	639
4/12/2024	CursoDeJavaAvanzado	Este	33190	108135	28136	825
2/25/2024	CursosDeProgramacion	Oeste	34430	290074	34719	852
3/26/2024	CursoDeJavaAvanzado	Oeste	49033	314682	40674	1495
7/6/2024	AprendeCSharpFacil	Oeste	48189	97946	16964	1093
7/4/2024	DesarrolloWebCompleto	Oeste	13385	394683	16009	1241
1/14/2024	CursosDeProgramacion	Este	36478	134104	34253	1800
11/17/2023	ProgramacionDesdeCero	Sur	27189	493690	31624	622
8/23/2023	AprendeCSharpFacil	Este	43625	93595	38481	1380
2/1/2024	AprendePythonFacil	Norte	22205	369379	41787	417
5/22/2024	CursoDeJavaAvanzado	Oeste	31718	252631	25669	1492
8/16/2023	AprendePythonFacil	Norte	45294	300804	29627	1430
12/7/2023	CodigoFacilitoEnEspanol	Sur	32350	48990	22138	1069
6/11/2024	ProgramacionParaTodos	Este	44609	298623	36305	1643
4/22/2024	CursosDeProgramacion	Sur	43479	119766	41768	1715
5/17/2024	ProgramacionParaTodos	Norte	22294	466801	49432	1838
9/9/2023	ProgramacionDesdeCero	Norte	26570	356583	26314	863
6/18/2024	MasterEnPython	Este	20713	200583	26486	1137
1/5/2024	AprendeCSharpFacil	Sur	19245	344963	30419	430
4/3/2024	CursoDeJavaAvanzado	Oeste	24220	469484	47616	646
4/19/2024	ProgramacionDesdeCero	Oeste	49136	471482	21699	1650
6/24/2024	AprendeJavaScriptYA	Sur	5481	6077	24706	1339
6/23/2024	CursoDeJavaAvanzado	Este	31202	421402	14164	738
9/16/2023	CursoDeJavaAvanzado	Este	27552	102880	42277	1408
7/1/2024	CodigoFacilitoEnEspanol	Norte	49983	51569	31736	308
12/29/2023	AprendePythonFacil	Sur	36696	246518	6550	1375
3/9/2024	ProgramacionParaTodos	Sur	28970	298192	25910	478
1/21/2024	DesarrolloWebCompleto	Oeste	12690	308775	46819	385
8/2/2024	CursosDeProgramacion	Norte	36250	321079	22362	1757
1/3/2024	AprendeJavaScriptYA	Este	27676	215826	43436	1778
6/18/2024	ProgramacionParaTodos	Oeste	33747	152102	34521	273
1/3/2024	CursosDeProgramacion	Norte	27215	319508	29217	1193
7/11/2024	CodigoFacilitoEnEspanol	Oeste	46611	374224	36399	1656
11/1/2023	CodigoFacilitoEnEspanol	Este	42291	342359	33480	1075
4/2/2024	ProgramacionDesdeCero	Norte	39412	439203	30932	430
12/2/2023	MasterEnPython	Este	19095	420048	33549	780
9/12/2023	DesarrolloWebCompleto	Norte	6977	322075	16021	720
1/8/2024	AprendeCSharpFacil	Sur	44313	290568	25845	1640
4/27/2024	AprendeCSharpFacil	Sur	9931	315215	6818	1470
10/2/2023	DesarrolloWebCompleto	Norte	37823	308067	26129	1894
1/7/2024	ProgramacionParaTodos	Oeste	35628	118142	10302	849
12/24/2023	MasterEnPython	Sur	22386	131204	6272	916
1/10/2024	ProgramacionParaTodos	Sur	27052	419591	8092	1367
6/8/2024	MasterEnPython	Este	16664	315901	39841	959
3/9/2024	AprendeCSharpFacil	Sur	34379	481869	7409	668
2/3/2024	ProgramacionDesdeCero	Oeste	39085	25205	29776	1161
3/3/2024	AprendeJavaScriptYA	Norte	28852	98832	38574	843
12/12/2023	CodigoFacilitoEnEspanol	Sur	34935	378077	25199	1651
11/2/2023	CursoDeJavaAvanzado	Sur	39405	344412	48182	900
6/17/2024	MasterEnPython	Sur	14873	280238	24191	819
1/13/2024	ProgramacionParaTodos	Este	16101	382968	18984	864
1/31/2024	DesarrolloWebCompleto	Este	20398	425532	29326	1792
2/13/2024	ProgramacionDesdeCero	Este	38578	370086	43699	663
7/16/2024	ProgramacionParaTodos	Oeste	37177	42696	48501	923
4/19/2024	AprendePythonFacil	Este	15504	64800	12288	1160
11/13/2023	CodigoFacilitoEnEspanol	Sur	42783	164046	39787	433
1/11/2024	MasterEnPython	Oeste	35120	499867	25635	665
3/19/2024	AprendeJavaScriptYA	Sur	5003	57343	24211	416
1/23/2024	DesarrolloWebCompleto	Este	8929	468543	40195	1182
4/11/2024	AprendeJavaScriptYA	Este	17780	169442	33124	1544
6/5/2024	AprendePythonFacil	Este	15068	380420	14618	1897
11/19/2023	AprendeJavaScriptYA	Este	28451	92779	38384	613
11/19/2023	CursosDeProgramacion	Oeste	35458	385197	29588	208
6/8/2024	MasterEnPython	Norte	10987	149746	14377	454
3/16/2024	ProgramacionParaTodos	Norte	9551	124446	31022	920
11/6/2023	AprendeCSharpFacil	Oeste	47915	327133	22426	376
2/14/2024	CursosDeProgramacion	Norte	13654	450489	44125	1601
2/25/2024	ProgramacionParaTodos	Oeste	12234	98780	11266	614
12/24/2023	MasterEnPython	Sur	31034	397142	11495	531
7/27/2024	AprendeJavaScriptYA	Este	5522	348612	15096	212
11/20/2023	ProgramacionParaTodos	Sur	23035	68557	48610	223
1/3/2024	CursosDeProgramacion	Sur	15538	249476	41395	1872
3/28/2024	AprendeJavaScriptYA	Sur	7875	382704	24714	722
12/21/2023	AprendeJavaScriptYA	Oeste	37018	486222	33876	1665
7/22/2024	AprendeJavaScriptYA	Este	20125	261914	32068	845
10/10/2023	ProgramacionDesdeCero	Norte	27861	21370	32742	1405
11/10/2023	AprendePythonFacil	Norte	26871	170370	17235	270
7/9/2024	AprendeCSharpFacil	Norte	28390	347157	17453	124
11/24/2023	MasterEnPython	Norte	30043	305785	43450	629
5/27/2024	DesarrolloWebCompleto	Oeste	47416	224389	6588	196
4/30/2024	AprendePythonFacil	Sur	26874	337665	16803	178
7/23/2024	AprendePythonFacil	Sur	11646	37427	7470	771
5/13/2024	DesarrolloWebCompleto	Norte	38701	380062	24806	1869
7/9/2024	ProgramacionParaTodos	Sur	34290	52143	5053	447
4/17/2024	CursosDeProgramacion	Sur	38192	51690	21494	1722
12/14/2023	CursosDeProgramacion	Norte	22201	235159	10830	1131
11/14/2023	CursosDeProgramacion	Norte	44191	391231	33236	1857
3/10/2024	DesarrolloWebCompleto	Sur	28441	183444	43334	829
3/10/2024	CodigoFacilitoEnEspanol	Sur	48863	275127	41982	1781
10/15/2023	CursosDeProgramacion	Norte	29522	343651	17492	100
3/6/2024	CursosDeProgramacion	Sur	17035	105753	9062	1583
6/30/2024	CursoDeJavaAvanzado	Sur	20861	301956	19304	1592
4/26/2024	AprendePythonFacil	Este	35067	441505	15811	645
10/21/2023	DesarrolloWebCompleto	Este	23734	19629	28149	1439
2/26/2024	CursosDeProgramacion	Oeste	17330	310283	17880	1842
7/7/2024	ProgramacionParaTodos	Norte	45326	281775	31800	996
3/24/2024	ProgramacionDesdeCero	Norte	45181	285281	48306	1173
2/14/2024	AprendeJavaScriptYA	Norte	18199	442678	27874	1015
10/24/2023	CursoDeJavaAvanzado	Oeste	29711	59673	21292	809
8/16/2023	MasterEnPython	Este	8609	22806	41398	752
12/13/2023	AprendeJavaScriptYA	Norte	29118	33497	43944	933
8/6/2024	DesarrolloWebCompleto	Norte	45699	491904	32723	1540
7/22/2024	CodigoFacilitoEnEspanol	Oeste	8799	404033	8947	1438
8/13/2023	CursosDeProgramacion	Sur	18059	92328	29201	1153
12/1/2023	AprendeCSharpFacil	Norte	13205	264970	20922	1101
4/10/2024	CursoDeJavaAvanzado	Este	34741	493852	38600	1264
6/23/2024	CursosDeProgramacion	Este	20848	345829	10417	1335
11/26/2023	CursoDeJavaAvanzado	Oeste	34055	138640	42388	1662
2/16/2024	AprendeCSharpFacil	Oeste	28603	145450	45282	1707
12/12/2023	AprendePythonFacil	Norte	14793	384339	25102	443
8/7/2024	AprendeJavaScriptYA	Oeste	49414	444285	24540	1741
4/26/2024	AprendeJavaScriptYA	Sur	41479	204503	32792	222
4/24/2024	AprendePythonFacil	Norte	17992	461827	33074	287
7/29/2024	AprendeJavaScriptYA	Oeste	6227	441497	48975	638
8/8/2024	ProgramacionParaTodos	Norte	24171	493693	12403	1666
12/4/2023	DesarrolloWebCompleto	Norte	37590	170025	49413	1410
11/10/2023	ProgramacionParaTodos	Norte	17065	203468	19356	1366
5/2/2024	CursoDeJavaAvanzado	Este	14755	397013	35397	440
10/22/2023	CursoDeJavaAvanzado	Sur	17486	213004	47469	1342
10/8/2023	AprendeCSharpFacil	Este	20264	360240	43150	542
8/10/2024	AprendeJavaScriptYA	Norte	18497	145455	42077	1846
8/10/2024	CodigoFacilitoEnEspanol	Sur	27012	117302	16132	572
3/20/2024	MasterEnPython	Este	42783	411822	40881	1051
1/21/2024	AprendePythonFacil	Este	23084	278332	21826	1846
4/14/2024	AprendeCSharpFacil	Este	21042	474015	39778	345
8/24/2023	DesarrolloWebCompleto	Oeste	25475	17162	18113	1887
6/12/2024	CodigoFacilitoEnEspanol	Sur	44884	188473	8033	1550
1/14/2024	DesarrolloWebCompleto	Norte	12374	231570	39730	962
4/3/2024	CursoDeJavaAvanzado	Oeste	36287	48644	38004	1769
12/28/2023	ProgramacionParaTodos	Sur	32209	70706	21847	1927
3/19/2024	CodigoFacilitoEnEspanol	Oeste	9162	397967	27057	1948
3/14/2024	DesarrolloWebCompleto	Sur	38245	491476	33951	1445
11/17/2023	ProgramacionDesdeCero	Sur	5458	485834	46172	1605
6/19/2024	AprendeCSharpFacil	Este	7106	220330	39851	376
12/24/2023	ProgramacionDesdeCero	Sur	49629	468562	21854	1555
3/10/2024	DesarrolloWebCompleto	Este	40239	110158	45322	251
4/17/2024	AprendeJavaScriptYA	Este	10508	149379	11959	844
4/18/2024	CursosDeProgramacion	Norte	28445	61638	12097	1880
4/14/2024	ProgramacionDesdeCero	Norte	11538	378517	19001	1069
10/27/2023	CursosDeProgramacion	Este	29714	407882	27370	870
10/5/2023	ProgramacionDesdeCero	Oeste	39501	72565	39152	820
3/2/2024	DesarrolloWebCompleto	Este	32179	18020	26254	1078
1/20/2024	DesarrolloWebCompleto	Norte	5697	228002	47527	599
4/27/2024	MasterEnPython	Norte	25977	19425	19700	1579
3/5/2024	ProgramacionParaTodos	Sur	14491	141417	31661	1965
11/11/2023	ProgramacionDesdeCero	Sur	14644	208208	48274	383
9/2/2023	CursoDeJavaAvanzado	Norte	43634	274406	39744	1135
10/18/2023	AprendeCSharpFacil	Sur	41978	350961	25358	423
9/8/2023	CursoDeJavaAvanzado	Este	17618	336831	36183	477
11/13/2023	ProgramacionDesdeCero	Este	32636	404971	10065	1737
9/20/2023	AprendeJavaScriptYA	Norte	11736	152553	14714	810
7/30/2024	ProgramacionDesdeCero	Oeste	33595	228839	42835	1241
9/24/2023	CodigoFacilitoEnEspanol	Oeste	43121	369488	34200	1314
6/14/2024	CursosDeProgramacion	Oeste	5017	427485	33363	1122
12/1/2023	ProgramacionDesdeCero	Norte	34489	171125	20884	1491
7/18/2024	ProgramacionParaTodos	Sur	9781	56947	46535	1690
5/16/2024	ProgramacionDesdeCero	Sur	13088	11672	39769	947
7/2/2024	CursoDeJavaAvanzado	Sur	42871	159405	12963	972
9/26/2023	MasterEnPython	Sur	38098	198972	40890	1976
1/25/2024	CodigoFacilitoEnEspanol	Oeste	46385	302022	28560	123
10/22/2023	CursoDeJavaAvanzado	Este	42193	129918	5080	1136
7/9/2024	DesarrolloWebCompleto	Norte	39723	465472	25520	1075
11/26/2023	MasterEnPython	Este	8620	423260	26989	722
7/16/2024	MasterEnPython	Sur	8989	39524	36961	1590
5/22/2024	CursoDeJavaAvanzado	Este	31839	279142	22253	577
3/6/2024	CursosDeProgramacion	Oeste	36698	327248	19001	413
11/22/2023	AprendeJavaScriptYA	Este	20106	398675	7736	1082
9/28/2023	AprendeCSharpFacil	Oeste	25070	278306	38073	1666
3/30/2024	AprendeCSharpFacil	Este	46569	392423	8662	708
12/27/2023	ProgramacionDesdeCero	Oeste	31948	401981	24586	724
7/12/2024	ProgramacionDesdeCero	Este	18278	105786	29173	1933
